City,Deaths per 100000,Deaths/1000,Deaths
,,,
"Albany, NY",,,
"Atlanta, GA",,,
"Baltimore, MD",141,1.41,837
"Birmingham, AL",,,
"Boston, MA",199,1.99,1603
"Buffalo, NY",,,
"Cambrige, MA",,,
"Chicago, IL",175,1.75,9024
"Cincinnati, OH",,,
"Cleveland, OH",99,0.99,1226
"Columbus, OH",,,
"Dayton, OH",,,
"Denver, CO",,,
"Fall River, MA",,,
"Grand Rapids, MI",,,
"Indianapolis, IN",,,
"Jersey City, NJ",,,
"Kansas City, MO",,,
"Los Angeles, CA",179,1.79,18044
"Louisville, KY",,,
"Lowell, MA",,,
"Memphis, TN",,,
"Milwaukee, WI",,,
"Minneapolis, MN",,,
"Nashville, TN",114,1.14,798
"Newark, NJ",,,
"New Haven, CT",,,
"New Orleans, LA",,,
"New York, NY",326,3.26,27568
"Oakland, CA",,,
"Omaha, NE",,,
"Philadelphia, PA",188,1.88,2971
"Pittsburgh, PA",131,1.31,1591
"Portland, OR",,,
"Providence, RI",,,
"Richmond, VA",,,
"Rochester, NY",,,
"St. Louis, MO",131,1.31,1838
"St. Paul, MN",,,
"San Francisco, CA",39,0.39,346
Total,142,1.42,65846
